,title,movie_type,date
152,唐人街探案2,喜剧／动作／悬疑,2018-02-16
153,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
154,少年的你,爱情／青春／剧情,2019-10-25
155,哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
156,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
157,战狼2,动作／战争,2017-07-27
158,吹哨人,剧情／犯罪／悬疑,2019-12-06
159,恐怖电影院2,恐怖／惊悚,2017-10-20
160,野性的呼唤,剧情／冒险,2020-02-21
161,复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
162,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
163,冰雪奇缘2,喜剧／动画／冒险,2019-11-22
164,疯狂的外星人,剧情／喜剧／科幻,2019-02-05
165,活着,灾难,2020-06-24
166,中国机长,剧情／传记,2019-09-30
167,两只老虎,剧情／喜剧,2019-11-29
168,釜山行,动作／惊悚／灾难,2016-05-13
169,流浪地球,剧情／冒险／科幻,2019-02-05
170,囧妈,剧情／喜剧,2020-01-25
171,速度与激情：增压,动作／短片,2015-06-25
172,星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
173,我和我的祖国,剧情,2019-09-30
174,数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
175,最美逆行,剧情,2020-06-28
176,泰迦奥特曼剧场版 新世代CLIMAX,科幻／冒险,2020-03-06
177,因爱而伟大,剧情／家庭,
178,蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
179,南方车站的聚会,剧情／犯罪,2019-12-06
180,天气之子,爱情／动画／奇幻,2019-11-01
181,误杀,剧情／犯罪,2019-12-13
182,唐人街探案2,喜剧／动作／悬疑,2018-02-16
183,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
184,少年的你,爱情／青春／剧情,2019-10-25
185,哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
186,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
187,战狼2,动作／战争,2017-07-27
188,吹哨人,剧情／犯罪／悬疑,2019-12-06
189,恐怖电影院2,恐怖／惊悚,2017-10-20
190,野性的呼唤,剧情／冒险,2020-02-21
191,复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
192,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
193,冰雪奇缘2,喜剧／动画／冒险,2019-11-22
194,疯狂的外星人,剧情／喜剧／科幻,2019-02-05
195,活着,灾难,2020-06-24
196,中国机长,剧情／传记,2019-09-30
197,两只老虎,剧情／喜剧,2019-11-29
198,釜山行,动作／惊悚／灾难,2016-05-13
199,流浪地球,剧情／冒险／科幻,2019-02-05
200,囧妈,剧情／喜剧,2020-01-25
201,速度与激情：增压,动作／短片,2015-06-25
202,星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
203,我和我的祖国,剧情,2019-09-30
204,数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
205,最美逆行,剧情,2020-06-28
206,泰迦奥特曼剧场版 新世代CLIMAX,科幻／冒险,2020-03-06
207,因爱而伟大,剧情／家庭,
208,蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
209,南方车站的聚会,剧情／犯罪,2019-12-06
210,天气之子,爱情／动画／奇幻,2019-11-01
211,误杀,剧情／犯罪,2019-12-13
212,唐人街探案2,喜剧／动作／悬疑,2018-02-16
213,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
214,少年的你,爱情／青春／剧情,2019-10-25
215,哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
216,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
217,战狼2,动作／战争,2017-07-27
218,吹哨人,剧情／犯罪／悬疑,2019-12-06
219,恐怖电影院2,恐怖／惊悚,2017-10-20
220,野性的呼唤,剧情／冒险,2020-02-21
221,复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
222,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
223,冰雪奇缘2,喜剧／动画／冒险,2019-11-22
224,疯狂的外星人,剧情／喜剧／科幻,2019-02-05
225,活着,灾难,2020-06-24
226,中国机长,剧情／传记,2019-09-30
227,两只老虎,剧情／喜剧,2019-11-29
228,釜山行,动作／惊悚／灾难,2016-05-13
229,流浪地球,剧情／冒险／科幻,2019-02-05
230,囧妈,剧情／喜剧,2020-01-25
231,速度与激情：增压,动作／短片,2015-06-25
232,星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
233,我和我的祖国,剧情,2019-09-30
234,数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
235,最美逆行,剧情,2020-06-28
236,泰迦奥特曼剧场版 新世代CLIMAX,科幻／冒险,2020-03-06
237,因爱而伟大,剧情／家庭,
238,蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
239,南方车站的聚会,剧情／犯罪,2019-12-06
240,天气之子,爱情／动画／奇幻,2019-11-01
241,误杀,剧情／犯罪,2019-12-13
242,唐人街探案2,喜剧／动作／悬疑,2018-02-16
243,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
244,少年的你,爱情／青春／剧情,2019-10-25
245,哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
246,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
247,战狼2,动作／战争,2017-07-27
248,吹哨人,剧情／犯罪／悬疑,2019-12-06
249,恐怖电影院2,恐怖／惊悚,2017-10-20
250,野性的呼唤,剧情／冒险,2020-02-21
251,复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
252,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
253,冰雪奇缘2,喜剧／动画／冒险,2019-11-22
254,疯狂的外星人,剧情／喜剧／科幻,2019-02-05
255,活着,灾难,2020-06-24
256,中国机长,剧情／传记,2019-09-30
257,两只老虎,剧情／喜剧,2019-11-29
258,釜山行,动作／惊悚／灾难,2016-05-13
259,流浪地球,剧情／冒险／科幻,2019-02-05
260,囧妈,剧情／喜剧,2020-01-25
261,速度与激情：增压,动作／短片,2015-06-25
262,星球大战：天行者崛起,动作／科幻／冒险,2019-12-20
263,我和我的祖国,剧情,2019-09-30
264,数码宝贝大冒险：最后的进化·羁绊,动画／冒险,2020-02-21
265,最美逆行,剧情,2020-06-28
266,泰迦奥特曼剧场版 新世代CLIMAX,科幻／冒险,2020-03-06
267,因爱而伟大,剧情／家庭,
268,蜘蛛侠：英雄远征,动作／冒险／科幻,2019-06-28
269,南方车站的聚会,剧情／犯罪,2019-12-06
270,天气之子,爱情／动画／奇幻,2019-11-01
271,误杀,剧情／犯罪,2019-12-13
272,唐人街探案2,喜剧／动作／悬疑,2018-02-16
273,哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
274,少年的你,爱情／青春／剧情,2019-10-25
275,哥斯拉2：怪兽之王,科幻／灾难／动作,2019-05-31
276,毒液2,动作／科幻／惊悚／恐怖,2020-06-25
277,战狼2,动作／战争,2017-07-27
278,吹哨人,剧情／犯罪／悬疑,2019-12-06
279,恐怖电影院2,恐怖／惊悚,2017-10-20
280,野性的呼唤,剧情／冒险,2020-02-21
281,复仇者联盟4：终局之战,动作／冒险／奇幻,2019-04-24
282,火箭少女101飞行演唱会*广州站,歌舞,2019-03-30
283,冰雪奇缘2,喜剧／动画／冒险,2019-11-22
