title,movie_type,date
扫毒2天地对决,剧情／动作／悬疑／犯罪,2019-07-05
白蛇：缘起,爱情／动画／奇幻,2019-01-11
反贪风暴4,剧情／动作／犯罪,2019-04-04
小丑,剧情／惊悚／犯罪,2019-10-04
银河补习班,剧情／家庭,2019-07-18
毒液：致命守护者,动作／惊悚／科幻,2018-11-09
战狼三级班,,2017
羞辱,剧情,2017-08-31
美人鱼,喜剧／爱情／科幻,2016-02-08
我非英雄,,
复仇者联盟3：无限战争,动作／冒险／科幻,2018-05-11
变形金刚7,,2019-06-28
报告老师！怪怪怪怪物！,剧情／恐怖,2017-04-23
名侦探柯南：绀青之拳,动画／悬疑／动作,2019-09-13
动物世界,动作／悬疑／冒险,2018-06-29
老师·好,剧情／喜剧,2019-03-22
路人女主的养成方法 剧场版,,2019-10-26
新喜剧之王,剧情／喜剧,2019-02-05
唐山大地震,剧情／历史／灾难,2010-07-22
命运之夜——天之杯II ：迷失之蝶,剧情／动画／奇幻,2019-07-12
纽约唐人街碎尸案,,1961
速度与激情7,动作／惊悚／犯罪,2015-04-12
无名之辈,剧情／喜剧／犯罪,2018-11-16
江湖儿女,爱情／犯罪,2018-09-21
麦路人,剧情,2019-10-29
沉睡魔咒2,冒险／家庭／奇幻,2019-10-18
上海堡垒,科幻／爱情／战争,2019-08-09
哆啦A梦：大雄的新恐龙,,2020-03
后来的我们,剧情／爱情,2018-04-28
大约在冬季,剧情／爱情,2019-11-15
家有喜事2020,,2020-01-25
奇门遁甲,喜剧／动作／奇幻,2017-12-14
未来想象记,,2019-04-16
建国大业,剧情／历史,2009-09-16
阿凡达,动作／科幻／冒险,2010-01-04
光天化日,,2019
美国队长3,动作／冒险／科幻,2016-05-06
被光抓走的人,剧情／爱情,2019-12-13
海王,动作／冒险／奇幻,2018-12-07
万达，残暴的催眠师,,1969
钢铁侠3,动作／科幻,2013-05-01
真·三国无双,,2018
蝙蝠侠：黑暗骑士,剧情／动作／科幻／惊悚／犯罪,2008-07-14
变形金刚5：最后的骑士,动作／冒险／科幻,2017-06-23
乘风破浪,剧情／喜剧／冒险,2017-01-28
泰坦尼克号,剧情／爱情／灾难,1998-04-03
鬼片王之再现凶榜,恐怖,1999-11-18
寒战3,,2019
哪吒2,,
智齿,,2019
金刚狼3：殊死一战,动作／冒险／科幻,2017-03-03
灭狐行动,,
阿特米斯的奇幻历险,动作／冒险／家庭,2020-06-12
哈利·波特与死亡圣器（下）,奇幻／冒险,2011-08-04
快把我哥带走,喜剧／奇幻,2018-08-17
黑帮大佬和我的365日,情色,2020-02-07
半个喜剧,爱情／喜剧,2019-12-20
蜘蛛侠：英雄归来,动作／冒险／科幻,2017-09-08
复仇者联盟,动作／科幻／奇幻／冒险,2012-05-05
绿皮书,剧情／喜剧／传记,2019-03-01
小黄人大眼萌：神偷奶爸前传,,2021-07-02
最好的我们,爱情／青春,2019-06-06
诛仙1,古装／爱情／奇幻,2019-09-13
疯狂动物城,动画／动作／冒险,2016-03-04
当幸福来敲门,剧情／家庭／传记,2008-01-17
羞羞的铁拳,喜剧／奇幻,2017-09-30
泰坦尼克号3D,爱情／灾难／剧情,2012-04-10
名侦探柯南特典：怪盗基德诞生的秘密,,2010-04-24
湄公河行动,剧情／动作／犯罪,2016-09-30
比悲伤更悲伤的故事,剧情／爱情,2019-03-14
小人物,,
逃出绝命镇,恐怖／惊悚／悬疑,2017-01-23
侏罗纪世界2,动作／冒险／科幻,2018-06-15
追龙Ⅱ,犯罪／剧情／动作,2019-06-06
环太平洋：雷霆再起,动作／冒险／科幻,2018-03-23
误杀瞒天记,剧情／悬疑／犯罪,2015-07-30
野性的呼唤,剧情／冒险,1992-12-28
儿童警察 电影版,喜剧／动作,2013-03-20
角头2：王者再起,剧情／动作／犯罪,2018-02-15
芳华,剧情／爱情／战争,2017-12-15
飞驰人生,喜剧／动作,2019-02-05
盗墓笔记,惊悚／悬疑／奇幻,2016-08-05
下一任：前任,爱情,2019-05-01
狮子王,剧情／动画／冒险,2019-07-12
钢铁侠4,,
老炮儿,剧情／动作,2015-12-24
一出好戏,剧情／喜剧,2018-08-10
阿丽塔：战斗天使,动作／冒险／科幻,2019-02-22
王牌特工：特工学院,喜剧／动作／冒险,2015-03-27
复仇者联盟2：奥创纪元,动作／科幻／奇幻／冒险,2015-05-12
使徒行者2：谍影行动,剧情／动作／犯罪,2019-08-07
让子弹飞,剧情／喜剧／动作／西部,2010-12-16
寻梦环游记,动画／冒险／家庭,2017-11-24
冰雪奇缘,喜剧／动画／歌舞／奇幻,2014-02-05
惊悚,,2017-06-03
紫罗兰永恒花园,动画／短片,2018-07-04
妖猫传,爱情／奇幻,2017-12-22
大侦探皮卡丘,冒险／奇幻／喜剧,2019-05-10
银翼杀手2049,剧情／科幻／惊悚,2017-10-27
盗梦空间,剧情／科幻／悬疑／冒险,2010-09-01
终结者：黑暗命运,动作／冒险／科幻,2019-11-01
蜡笔小新：激战！涂鸦王国和约四位勇士,,2020-04-24
哈利·波特禁忌之旅,短片／冒险,2010-06-18
加勒比海盗5：死无对证,喜剧／动作／奇幻,2017-05-26
熊出没的开垦地,,1932-04-14
拆弹·专家,动作／悬疑／犯罪,2017-04-28
利刃出鞘,剧情／悬疑／惊悚／犯罪,2019-11-29
饥饿站台,科幻／惊悚,2019-09-06
追龙,动作／犯罪,2017-09-30
惊天营救,动作／惊悚／犯罪,2020-04-24
熊出没·变形记,喜剧／动画／冒险,2018-02-16
天堂电影院,剧情／爱情,1988-11-17
小丑回魂2,剧情／恐怖／奇幻,2019-09-06
蝙蝠侠：黑暗骑士崛起,剧情／动作／科幻／惊悚／犯罪,2012-08-27
三少爷的剑,剧情／动作／武侠,2016-12-02
从你的全世界路过,喜剧／爱情,2016-09-29
与神同行2：因与缘,动作／奇幻,2018-08-01
